PRVDR_NUM,ST_ADR,CITY_NAME,STATE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,ADDRESS,LAT,LONG
070001,1450 CHAPEL ST,NEW HAVEN,CT,6511.0,9.0,U,"1450 CHAPEL ST,NEW HAVEN,CT",41.31014365,-72.94293144420357
070002,114 WOODLAND STREET,HARTFORD,CT,6105.0,3.0,U,"114 WOODLAND STREET,HARTFORD,CT",41.77413945,-72.6980902631616
070003,320 POMFRET STREET,PUTNAM,CT,6260.0,15.0,U,"320 POMFRET STREET,PUTNAM,CT",41.9069644,-71.91401472099243
070004,50 HOSPITAL HILL ROAD,SHARON,CT,6069.0,5.0,R,"50 HOSPITAL HILL ROAD,SHARON,CT",41.88096365,-73.48199603029511
070005,64 ROBBINS ST,WATERBURY,CT,6721.0,9.0,U,"64 ROBBINS ST,WATERBURY,CT",41.5584302,-73.0587191
070006,ONE HOSPITAL PLAZA,STAMFORD,CT,6904.0,1.0,U,"ONE HOSPITAL PLAZA,STAMFORD,CT",0.0,0.0
070007,365 MONTAUK AVE,NEW LONDON,CT,6320.0,11.0,U,"365 MONTAUK AVE,NEW LONDON,CT",41.3363582,-72.10472554928862
070008,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076.0,13.0,U,"201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT",0.0,0.0
070009,81 MERIDEN AVENUE,SOUTHINGTON,CT,6489.0,3.0,U,"81 MERIDEN AVENUE,SOUTHINGTON,CT",41.595596,-72.87510347603596
070010,267 GRANT STREET,BRIDGEPORT,CT,6610.0,1.0,U,"267 GRANT STREET,BRIDGEPORT,CT",41.189470850000006,-73.16746970382079
070011,540 LITCHFIELD ST,TORRINGTON,CT,6790.0,5.0,R,"540 LITCHFIELD ST,TORRINGTON,CT",41.792270450000004,-73.13376944648427
070012,31 UNION ST,ROCKVILLE,CT,6066.0,13.0,U,"31 UNION ST,ROCKVILLE,CT",41.866395,-72.45131973625521
070013,500 BLUE HILLS AVE,HARTFORD,CT,6112.0,3.0,U,"500 BLUE HILLS AVE,HARTFORD,CT",41.80012845,-72.69449922637793
070014,883 PADDOCK AVE,MERIDEN,CT,6450.0,9.0,U,"883 PADDOCK AVE,MERIDEN,CT",41.505847388167076,-72.77591899537417
070015,21 ELM ST,NEW MILFORD,CT,6776.0,5.0,R,"21 ELM ST,NEW MILFORD,CT",41.5818588,-73.40959111740774
070016,56 FRANKLIN STEET,WATERBURY,CT,6706.0,9.0,U,"56 FRANKLIN STEET,WATERBURY,CT",0.0,0.0
070017,435 LEWIS AVENUE,MERIDEN,CT,6450.0,9.0,U,"435 LEWIS AVENUE,MERIDEN,CT",41.5487876,-72.80125249019261
070018,5 PERRYRIDGE RD,GREENWICH,CT,6830.0,1.0,U,"5 PERRYRIDGE RD,GREENWICH,CT",41.034299,-73.63064634640509
070019,300 SEASIDE AVENUE,MILFORD,CT,6460.0,9.0,U,"300 SEASIDE AVENUE,MILFORD,CT",41.21654515,-73.06536039300812
07001F,MOHEGAN AVE,NEW LONDON,CT,6320.0,11.0,U,"MOHEGAN AVE,NEW LONDON,CT",41.3872421,-72.1059457
070020,28 CRESCENT ST,MIDDLETOWN,CT,6457.0,7.0,U,"28 CRESCENT ST,MIDDLETOWN,CT",41.554399149999995,-72.6472261134776
070021,112 MANSFIELD AVENUE,WILLIMANTIC,CT,6226.0,15.0,U,"112 MANSFIELD AVENUE,WILLIMANTIC,CT",41.71777445,-72.22615262205655
070022,20 YORK ST,NEW HAVEN,CT,6504.0,9.0,U,"20 YORK ST,NEW HAVEN,CT",41.3046035,-72.93559409819855
070023,695 PARK AVE,BRIDGEPORT,CT,6604.0,1.0,U,"695 PARK AVE,BRIDGEPORT,CT",41.17140668703063,-73.19608457024505
070024,326 WASHINGTON ST,NORWICH,CT,6360.0,11.0,U,"326 WASHINGTON ST,NORWICH,CT",41.54273245,-72.08868694772954
070025,80 SEYMOUR STREET,HARTFORD,CT,6102.0,3.0,U,"80 SEYMOUR STREET,HARTFORD,CT",41.754569849999996,-72.68004441789873
070026,115 SPENCER ST,WINSTED,CT,6098.0,5.0,R,"115 SPENCER ST,WINSTED,CT",41.93055435846404,-73.07579260568988
070027,71 HAYNES ST,MANCHESTER,CT,6040.0,3.0,U,"71 HAYNES ST,MANCHESTER,CT",41.7816396,-72.52584001808663
070028,2800 MAIN ST,BRIDGEPORT,CT,6606.0,1.0,U,"2800 MAIN ST,BRIDGEPORT,CT",41.2019763,-73.2013719
070029,41 BREWSTER RD,BRISTOL,CT,6010.0,3.0,U,"41 BREWSTER RD,BRISTOL,CT",41.67666805,-72.93580727981586
07002F,555 WILLARD AVE,NEWINGTON,CT,6111.0,3.0,U,"555 WILLARD AVE,NEWINGTON,CT",41.7011052,-72.74164373269605
070030,128 STRAWBERRY HILL AVE,STAMFORD,CT,6904.0,1.0,U,"128 STRAWBERRY HILL AVE,STAMFORD,CT",41.0639000251837,-73.53305610220357
070031,130 DIVISION ST,DERBY,CT,6418.0,9.0,U,"130 DIVISION ST,DERBY,CT",41.335278,-73.08924623057271
070033,24 HOSPITAL AVE,DANBURY,CT,6810.0,1.0,U,"24 HOSPITAL AVE,DANBURY,CT",41.40521795,-73.44515867833094
070034,24 STEVENS STREET,NORWALK,CT,6856.0,1.0,U,"24 STEVENS STREET,NORWALK,CT",41.110722,-73.420487
070035,100 GRAND STREET,NEW BRITAIN,CT,6050.0,3.0,U,"100 GRAND STREET,NEW BRITAIN,CT",41.66138145,-72.78671157363726
070036,263 FARMINGTON AVE,FARMINGTON,CT,6032.0,3.0,U,"263 FARMINGTON AVE,FARMINGTON,CT",41.73344545,-72.79234525803653
070038,100 DOUBLE BEACH ROAD,BRANFORD,CT,6405.0,9.0,U,"100 DOUBLE BEACH ROAD,BRANFORD,CT",41.2558341,-72.8325333
070039,22 MASONIC AVE,WALLINGFORD,CT,6492.0,9.0,U,"22 MASONIC AVE,WALLINGFORD,CT",41.463340099999996,-72.83575212760752
07003F,WEST SPRING ST,WEST HAVEN,CT,6516.0,9.0,U,"WEST SPRING ST,WEST HAVEN,CT",41.278828,-72.9669378
070040,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,6117.0,3.0,U,"1 ABRAHMS BOULEVARD,WEST HARTFORD,CT",41.8027338,-72.7295494
07004F,P O BOX 600,GROTON,CT,6340.0,11.0,U,"P O BOX 600,GROTON,CT",0.0,0.0
07006E,BOND ST EXT,BRIDGEPORT,CT,6610.0,1.0,U,"BOND ST EXT,BRIDGEPORT,CT",0.0,0.0
07007E,34 PARK ST,NEW HAVEN,CT,6508.0,9.0,U,"34 PARK ST,NEW HAVEN,CT",41.3051594,-72.93682053010389
071500,100 DOUBLE BEACH ROAD,BRANFORD,CT,6405.0,9.0,U,"100 DOUBLE BEACH ROAD,BRANFORD,CT",41.2558341,-72.8325333
071501,"456 GLENBROOK ROAD, SUITE 2",STAMFORD,CT,6906.0,1.0,U,"456 GLENBROOK ROAD, SUITE 2,STAMFORD,CT",0.0,0.0
